Total_Episode,Target_Reward
0,132
20,152
40,262
60,10
80,3
100,1
120,1
140,2
160,51
180,88
200,76
220,60
240,107
260,142
280,158
300,180
320,183
340,173
360,170
380,171
400,176
420,179
440,177
460,206
480,257
500,260
520,256
540,272
560,253
580,276
600,283
620,260
640,275
660,275
680,263
700,281
720,290
740,291
760,252
780,255
800,262
820,255
840,277
860,337
880,341
900,345
920,333
940,320
960,336
980,324
1000,306
1020,306
1040,303
1060,303
1080,309
1100,359
1120,352
1140,365
1160,364
1180,359
1200,360
1220,197
1240,195
1260,192
1280,194
1300,374
1320,374
1340,375
1360,377
1380,379
1400,385
1420,385
1440,384
1460,379
1480,376
1500,376
1520,369
1540,358
1560,364
1580,366
1600,364
1620,369
1640,371
1660,375
1680,375
1700,384
1720,385
1740,387
1760,384
1780,376
1800,367
1820,373
1840,382
1860,380
1880,382
1900,385
1920,383
1940,376
1960,376
1980,375
