Target_Reward,Total_Episode
205,0
219,20
152,40
273,60
263,80
256,100
229,120
272,140
250,160
192,180
257,200
234,220
344,240
335,260
355,280
333,300
347,320
315,340
325,360
334,380
369,400
436,420
438,440
408,460
429,480
437,500
434,520
442,540
418,560
412,580
428,600
506,620
536,640
487,660
496,680
477,700
460,720
510,740
543,760
509,780
546,800
542,820
481,840
457,860
533,880
451,900
540,920
450,940
535,960
474,980
491,1000
566,1020
566,1040
557,1060
579,1080
596,1100
595,1120
570,1140
599,1160
552,1180
577,1200
638,1220
657,1240
675,1260
688,1280
641,1300
618,1320
665,1340
672,1360
663,1380
638,1400
678,1420
640,1440
672,1460
637,1480
620,1500
788,1520
701,1540
780,1560
758,1580
734,1600
789,1620
737,1640
771,1660
726,1680
721,1700
741,1720
758,1740
733,1760
749,1780
746,1800
728,1820
734,1840
753,1860
718,1880
751,1900
786,1920
711,1940
743,1960
768,1980
