Target_Reward,Total_Episode
47.0,20
45.0,40
49.0,60
29.0,80
49.0,100
28.0,120
33.0,140
29.0,160
32.0,180
44.0,200
45.0,220
39.0,240
48.0,260
36.0,280
42.0,300
34.0,320
29.0,340
34.0,360
44.0,380
39.0,400
33.0,420
39.0,440
33.0,460
48.0,480
47.0,500
73.0,520
56.0,540
63.0,560
68.0,580
57.0,600
69.0,620
72.0,640
70.0,660
55.0,680
53.0,700
58.0,720
62.0,740
58.0,760
70.0,780
61.0,800
59.0,820
56.0,840
51.0,860
55.0,880
53.0,900
65.0,920
66.0,940
60.0,960
58.0,980
72.0,1000
88.0,1020
95.0,1040
85.0,1060
95.0,1080
92.0,1100
94.0,1120
99.0,1140
82.0,1160
93.0,1180
96.0,1200
76.0,1220
95.0,1240
80.0,1260
92.0,1280
79.0,1300
78.0,1320
93.0,1340
92.0,1360
76.0,1380
99.0,1400
92.0,1420
77.0,1440
78.0,1460
94.0,1480
85.0,1500
107.0,1520
136.0,1540
135.0,1560
109.0,1580
144.0,1600
123.0,1620
138.0,1640
146.0,1660
126.0,1680
108.0,1700
146.0,1720
107.0,1740
116.0,1760
105.0,1780
149.0,1800
117.0,1820
146.0,1840
102.0,1860
108.0,1880
144.0,1900
119.0,1920
146.0,1940
122.0,1960
120.0,1980
138.0,2000
